Category,Partner Website/Brand,Coupon Amount,Rewards Percentage,Discount,Offer Summary,Terms and Condition,Offers Name,How to Use,Special Award,Festival Name,Tag,Offer Summary Cleaned,Offer Summary Normalized,Context Info,Personalized Offer,Formatted Email,Formatted Tweet,Formatted Blog,Formatted Push,Validated Offer
Home Needs,Amazon,5000,35,100 Off,Get exciting discounts on your favorite brands.,Cannot be clubbed with other offers.,Mega Cashback Offer,Show QR code at store.,No,,shopping,get exciting discounts favorite brands,get exciting discount favorite bands from Amazon,"{'entities': {'Amazon': 'ORG'}, 'sentiment': 0.4, 'keywords': ['get', 'exciting', 'discount', 'favorite', 'bands', 'Amazon']}",Exclusive Home Needs offer from Amazon! get exciting discount favorite bands from Amazon ,"Dear Valued Customer,

Exclusive Home Needs offer from Amazon! get exciting discount favorite bands from Amazon 

Best Regards,
Your Bank",Exclusive Home Needs offer from Amazon! get exciting discount favorite bands from Amazon  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from Amazon! get exciting discount favorite bands from Amazon </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from Amazon! get exciti,Exclusive Some Needs offer from Amazon! get exciting discount favorite bands from Amazon 
Dining,Domino's,2500,20,Buy 1 Get 1 Free,Limited time offer - grab now!,Terms and conditions apply as per the brand.,Mega Cashback Offer,Show QR code at store.,No,,reward,limited time offer grab,limited time offer grab from Domino's,"{'entities': {'Domino': 'PERSON'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'Domino']}",Exclusive Dining offer from Domino's! limited time offer grab from Domino's Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from Domino's! limited time offer grab from Domino's Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from Domino's! limited time offer grab from Domino's Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from Domino's! limited time offer grab from Domino's Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from Domino's! limited time,Exclusive Dining offer from Coming's! limited time offer grab from Coming's Haste the best with premium dining discount.
Wellness,PharmEasy,200,40,200 Off,Earn reward points with every purchase.,Valid for online purchase only.,Mega Cashback Offer,Apply coupon at checkout.,No,,membership,earn reward points every purchase,earn reward points every purchase from PharmEasy,"{'entities': {'PharmEasy': 'GPE'}, 'sentiment': 0.0, 'keywords': ['earn', 'reward', 'points', 'every', 'purchase', 'PharmEasy']}",Exclusive Wellness offer from PharmEasy! earn reward points every purchase from PharmEasy ,"Dear Valued Customer,

Exclusive Wellness offer from PharmEasy! earn reward points every purchase from PharmEasy 

Best Regards,
Your Bank",Exclusive Wellness offer from PharmEasy! earn reward points every purchase from PharmEasy  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from PharmEasy! earn reward points every purchase from PharmEasy </h2><p>Read more on our website...</p>,Exclusive Wellness offer from PharmEasy! earn rewa,Exclusive Illness offer from PharmEasy! earn reward points every purchase from PharmEasy 
Electronics,Vijay Sales,2000,5,200 Off,Special Eid Offer: Earn reward points with every purchase.,Valid for online purchase only.,Flash Sale Special,Redeem via mobile app.,Yes,Eid,spend,special eid offer earn reward points every purchase,special did offer earn reward points every purchase from Vijay Sales,"{'entities': {'Vijay': 'ORG'}, 'sentiment': 0.35714285714285715, 'keywords': ['special', 'offer', 'earn', 'reward', 'points', 'every', 'purchase', 'Vijay', 'Sales']}",Exclusive Electronics offer from Vijay Sales! special did offer earn reward points every purchase from Vijay Sales ,"Dear Valued Customer,

Exclusive Electronics offer from Vijay Sales! special did offer earn reward points every purchase from Vijay Sales 

Best Regards,
Your Bank",Exclusive Electronics offer from Vijay Sales! special did offer earn reward points every purchase from Vijay Sales  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Vijay Sales! special did offer earn reward points every purchase from Vijay Sales </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Vijay Sales! spec,Exclusive Electronics offer from Jay Tales! special did offer earn reward points every purchase from Jay Tales 
Home Needs,Grofers,1500,15,15% Off,Special New Year Offer: Limited time offer - grab now!,Terms and conditions apply as per the brand.,Super Saver Deal,Show QR code at store.,Yes,New Year,billing,special new year offer limited time offer grab,special new year offer limited time offer grab from Grofers,"{'entities': {'Grofers': 'ORG'}, 'sentiment': 0.14069264069264067, 'keywords': ['special', 'new', 'year', 'offer', 'limited', 'time', 'offer', 'grab', 'Grofers']}",Exclusive Home Needs offer from Grofers! special new year offer limited time offer grab from Grofers ,"Dear Valued Customer,

Exclusive Home Needs offer from Grofers! special new year offer limited time offer grab from Grofers 

Best Regards,
Your Bank",Exclusive Home Needs offer from Grofers! special new year offer limited time offer grab from Grofers  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from Grofers! special new year offer limited time offer grab from Grofers </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from Grofers! special n,Exclusive Some Needs offer from Refers! special new year offer limited time offer grab from Refers 
Wellness,HealthKart,200,35,20% Off,Exclusive cashback on selected brands.,Cannot be clubbed with other offers.,Flash Sale Special,Apply coupon at checkout.,No,,bonus,exclusive cashback selected brands,exclusive cashback selected bands from HealthKart,"{'entities': {'HealthKart': 'ORG'}, 'sentiment': 0.0, 'keywords': ['exclusive', 'cashback', 'selected', 'bands', 'HealthKart']}",Exclusive Wellness offer from HealthKart! exclusive cashback selected bands from HealthKart ,"Dear Valued Customer,

Exclusive Wellness offer from HealthKart! exclusive cashback selected bands from HealthKart 

Best Regards,
Your Bank",Exclusive Wellness offer from HealthKart! exclusive cashback selected bands from HealthKart  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from HealthKart! exclusive cashback selected bands from HealthKart </h2><p>Read more on our website...</p>,Exclusive Wellness offer from HealthKart! exclusiv,Exclusive Illness offer from HealthKart! exclusive cashback selected bands from HealthKart 
Wellness,HealthKart,1000,5,15% Off,Special Valentine's Offer: Earn reward points with every purchase.,Valid for online purchase only.,Super Saver Deal,Discount auto-applied on cart.,Yes,Valentine's,bonus,special valentine offer earn reward points every purchase,special valentine offer earn reward points every purchase from HealthKart,"{'entities': {'HealthKart': 'ORG'}, 'sentiment': 0.35714285714285715, 'keywords': ['special', 'valentine', 'offer', 'earn', 'reward', 'points', 'every', 'purchase', 'HealthKart']}",Exclusive Wellness offer from HealthKart! special valentine offer earn reward points every purchase from HealthKart ,"Dear Valued Customer,

Exclusive Wellness offer from HealthKart! special valentine offer earn reward points every purchase from HealthKart 

Best Regards,
Your Bank",Exclusive Wellness offer from HealthKart! special valentine offer earn reward points every purchase from HealthKart  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from HealthKart! special valentine offer earn reward points every purchase from HealthKart </h2><p>Read more on our website...</p>,Exclusive Wellness offer from HealthKart! special ,Exclusive Illness offer from HealthKart! special valentine offer earn reward points every purchase from HealthKart 
Electronics,Flipkart,1500,25,10% Off,Special Diwali Offer: Limited time offer - grab now!,Offer valid till stock lasts.,Super Saver Deal,Use code at partner website.,Yes,Diwali,shopping,special diwali offer limited time offer grab,special dial offer limited time offer grab from Flipkart,"{'entities': {'Flipkart': 'ORG'}, 'sentiment': 0.14285714285714285, 'keywords': ['special', 'dial', 'offer', 'limited', 'time', 'offer', 'grab', 'Flipkart']}",Exclusive Electronics offer from Flipkart! special dial offer limited time offer grab from Flipkart ,"Dear Valued Customer,

Exclusive Electronics offer from Flipkart! special dial offer limited time offer grab from Flipkart 

Best Regards,
Your Bank",Exclusive Electronics offer from Flipkart! special dial offer limited time offer grab from Flipkart  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Flipkart! special dial offer limited time offer grab from Flipkart </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Flipkart! special,Exclusive Electronics offer from Flipkart! special dial offer limited time offer grab from Flipkart 
Wellness,PharmEasy,5000,30,10% Off,Special Valentine's Offer: Limited time offer - grab now!,Terms and conditions apply as per the brand.,Mega Cashback Offer,Show QR code at store.,Yes,Valentine's,reward,special valentine offer limited time offer grab,special valentine offer limited time offer grab from PharmEasy,"{'entities': {'PharmEasy': 'GPE'}, 'sentiment': 0.14285714285714285, 'keywords': ['special', 'valentine', 'offer', 'limited', 'time', 'offer', 'grab', 'PharmEasy']}",Exclusive Wellness offer from PharmEasy! special valentine offer limited time offer grab from PharmEasy ,"Dear Valued Customer,

Exclusive Wellness offer from PharmEasy! special valentine offer limited time offer grab from PharmEasy 

Best Regards,
Your Bank",Exclusive Wellness offer from PharmEasy! special valentine offer limited time offer grab from PharmEasy  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from PharmEasy! special valentine offer limited time offer grab from PharmEasy </h2><p>Read more on our website...</p>,Exclusive Wellness offer from PharmEasy! special v,Exclusive Illness offer from PharmEasy! special valentine offer limited time offer grab from PharmEasy 
Dining,Swiggy,2000,30,100 Off,Get exciting discounts on your favorite brands.,Valid for online purchase only.,Flash Sale Special,Apply coupon at checkout.,No,,reward,get exciting discounts favorite brands,get exciting discount favorite bands from Swiggy,"{'entities': {'Swiggy': 'ORG'}, 'sentiment': 0.4, 'keywords': ['get', 'exciting', 'discount', 'favorite', 'bands', 'Swiggy']}",Exclusive Dining offer from Swiggy! get exciting discount favorite bands from Swiggy Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from Swiggy! get exciting discount favorite bands from Swiggy Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from Swiggy! get exciting discount favorite bands from Swiggy Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from Swiggy! get exciting discount favorite bands from Swiggy Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from Swiggy! get exciting d,Exclusive Dining offer from Swiggy! get exciting discount favorite bands from Swiggy Haste the best with premium dining discount.
Wellness,CureFit,1000,35,200 Off,Exclusive cashback on selected brands.,Offer valid till stock lasts.,Mega Cashback Offer,Discount auto-applied on cart.,No,,bonus,exclusive cashback selected brands,exclusive cashback selected bands from CureFit,"{'entities': {'CureFit': 'GPE'}, 'sentiment': 0.0, 'keywords': ['exclusive', 'cashback', 'selected', 'bands', 'CureFit']}",Exclusive Wellness offer from CureFit! exclusive cashback selected bands from CureFit ,"Dear Valued Customer,

Exclusive Wellness offer from CureFit! exclusive cashback selected bands from CureFit 

Best Regards,
Your Bank",Exclusive Wellness offer from CureFit! exclusive cashback selected bands from CureFit  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from CureFit! exclusive cashback selected bands from CureFit </h2><p>Read more on our website...</p>,Exclusive Wellness offer from CureFit! exclusive c,Exclusive Illness offer from CureFit! exclusive cashback selected bands from CureFit 
Dining,KFC,5000,40,100 Off,Special New Year Offer: Limited time offer - grab now!,Applicable only on select products.,Reward Booster,Redeem via mobile app.,Yes,New Year,redemption,special new year offer limited time offer grab,special new year offer limited time offer grab from KFC,"{'entities': {'KFC': 'ORG'}, 'sentiment': 0.14069264069264067, 'keywords': ['special', 'new', 'year', 'offer', 'limited', 'time', 'offer', 'grab', 'KFC']}",Exclusive Dining offer from KFC! special new year offer limited time offer grab from KFC Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from KFC! special new year offer limited time offer grab from KFC Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from KFC! special new year offer limited time offer grab from KFC Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from KFC! special new year offer limited time offer grab from KFC Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from KFC! special new year ,Exclusive Dining offer from KFC! special new year offer limited time offer grab from KFC Haste the best with premium dining discount.
Wellness,CureFit,2000,40,200 Off,Special discounts for loyal customers.,Applicable only on select products.,Flash Sale Special,Apply coupon at checkout.,No,,reward,special discounts loyal customers,special discount loyal customers from CureFit,"{'entities': {'CureFit': 'GPE'}, 'sentiment': 0.34523809523809523, 'keywords': ['special', 'discount', 'loyal', 'customers', 'CureFit']}",Exclusive Wellness offer from CureFit! special discount loyal customers from CureFit ,"Dear Valued Customer,

Exclusive Wellness offer from CureFit! special discount loyal customers from CureFit 

Best Regards,
Your Bank",Exclusive Wellness offer from CureFit! special discount loyal customers from CureFit  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from CureFit! special discount loyal customers from CureFit </h2><p>Read more on our website...</p>,Exclusive Wellness offer from CureFit! special dis,Exclusive Illness offer from CureFit! special discount loyal customers from CureFit 
Dining,McDonald's,500,15,10% Off,Earn reward points with every purchase.,Cannot be clubbed with other offers.,Reward Booster,Apply coupon at checkout.,No,,spend,earn reward points every purchase,earn reward points every purchase from McDonald's,"{'entities': {""McDonald's"": 'ORG'}, 'sentiment': 0.0, 'keywords': ['earn', 'reward', 'points', 'every', 'purchase', 'McDonald']}",Exclusive Dining offer from McDonald's! earn reward points every purchase from McDonald's Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from McDonald's! earn reward points every purchase from McDonald's Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from McDonald's! earn reward points every purchase from McDonald's Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from McDonald's! earn reward points every purchase from McDonald's Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from McDonald's! earn rewar,Exclusive Dining offer from McDonald's! earn reward points every purchase from McDonald's Haste the best with premium dining discount.
Dining,Zomato,100,30,500 Off,Special discounts for loyal customers.,Cannot be clubbed with other offers.,Flash Sale Special,Discount auto-applied on cart.,No,,redemption,special discounts loyal customers,special discount loyal customers from Zomato,"{'entities': {'Zomato': 'PERSON'}, 'sentiment': 0.34523809523809523, 'keywords': ['special', 'discount', 'loyal', 'customers', 'Zomato']}",Exclusive Dining offer from Zomato! special discount loyal customers from Zomato Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from Zomato! special discount loyal customers from Zomato Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from Zomato! special discount loyal customers from Zomato Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from Zomato! special discount loyal customers from Zomato Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from Zomato! special discou,Exclusive Dining offer from Tomato! special discount loyal customers from Tomato Haste the best with premium dining discount.
Home Needs,Flipkart,1500,40,500 Off,Special discounts for loyal customers.,Applicable only on select products.,Super Saver Deal,Show QR code at store.,No,,shopping,special discounts loyal customers,special discount loyal customers from Flipkart,"{'entities': {'Flipkart': 'ORG'}, 'sentiment': 0.34523809523809523, 'keywords': ['special', 'discount', 'loyal', 'customers', 'Flipkart']}",Exclusive Home Needs offer from Flipkart! special discount loyal customers from Flipkart ,"Dear Valued Customer,

Exclusive Home Needs offer from Flipkart! special discount loyal customers from Flipkart 

Best Regards,
Your Bank",Exclusive Home Needs offer from Flipkart! special discount loyal customers from Flipkart  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from Flipkart! special discount loyal customers from Flipkart </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from Flipkart! special ,Exclusive Some Needs offer from Flipkart! special discount loyal customers from Flipkart 
